                  QSO_name     ion       Glon       Glat      v_LSR     logN   hvcflag_1   hvcflag_2   hvcflag_3   hvcflag_4  
   2MASX-J01013113+4229356    SiIV   124.9137   -20.3398    -20.408   13.414           0           0           0           0  
   2MASX-J10053271-2417161    CII*   261.2302    24.8511     60.045   14.359           1           0           0           0  
   2MASX-J10053271-2417161    CII*   261.2302    24.8511    -17.901    14.41           0           0           0           0  
   2MASX-J10053271-2417161     CIV   261.2302    24.8511     51.051   14.343           1           0           0           0  
   2MASX-J10053271-2417161      NV   261.2302    24.8511    -17.901   14.023           0           0           0           0  
   2MASX-J10053271-2417161    NiII   261.2302    24.8511     27.068   13.988           0           0           0           0  
   2MASX-J10053271-2417161    NiII   261.2302    24.8511     -5.909    14.04           0           0           0           0  
   2MASX-J10053271-2417161     SII   261.2302    24.8511     60.045   14.516           1           0           0           0  
   2MASX-J10053271-2417161     SII   261.2302    24.8511      39.06   14.859           0           0           0           0  
   2MASX-J10053271-2417161     SII   261.2302    24.8511      24.07   15.162           0           0           0           0  
   2MASX-J10053271-2417161     SII   261.2302    24.8511     -5.909   15.671           0           0           0           0  
   2MASX-J10053271-2417161    SiII   261.2302    24.8511    146.985   13.363           1           1           0           0  
   2MASX-J10053271-2417161    SiII   261.2302    24.8511     36.062   15.102           0           0           0           0  
   2MASX-J10053271-2417161    SiIV   261.2302    24.8511     111.01    12.66           1           1           1           1  
   2MASX-J10053271-2417161    SiIV   261.2302    24.8511     48.053   12.892           1           0           0           0  
   2MASX-J10053271-2417161    SiIV   261.2302    24.8511     15.076   12.915           0           0           0           0  
   2MASX-J10053271-2417161    SiIV   261.2302    24.8511     78.033   12.962           1           0           0           0  
   2MASX-J10053271-2417161    SiIV   261.2302    24.8511    -17.901   13.037           0           0           0           0  
     2XMM-J100420.0+051300    CII*    234.161    44.6222     64.268   13.456           1           0           0           0  
     2XMM-J100420.0+051300    CII*    234.161    44.6222     -10.68   13.933           0           0           0           0  
     2XMM-J100420.0+051300     CIV    234.161    44.6222    -34.663    14.12           0           0           0           0  
     2XMM-J100420.0+051300    SiII    234.161    44.6222     70.264   14.081           1           0           0           0  
