                      QSO    ion       Glon       Glat  weighted_v_LSR  total_logN
                 NGC-7469   CII*    83.0986   -45.4667         -4.8182     14.0455
                 NGC-7469    CIV    83.0986   -45.4667          5.9085     14.0614
                 NGC-7469     NV    83.0986   -45.4667        -23.9660     12.9730
                 NGC-7469   NiII    83.0986   -45.4667        -14.9720     13.7050
                 NGC-7469    SII    83.0986   -45.4667         -8.9760     15.2140
                 NGC-7469   SiII    83.0986   -45.4667        -21.2157     14.5523
                 NGC-7469   SiIV    83.0986   -45.4667         -9.1585     13.5125
                  NGC-985   CII*   180.8371   -59.4902        -10.1959     14.0202
                  NGC-985    CIV   180.8371   -59.4902        -38.7288     14.0404
                  NGC-985     NV   180.8371   -59.4902        -35.9780     13.2890
                  NGC-985   NiII   180.8371   -59.4902        -17.9910     13.7380
                  NGC-985    SII   180.8371   -59.4902         -8.7116     15.2622
                  NGC-985   SiII   180.8371   -59.4902        -24.1779     14.8740
                  NGC-985   SiIV   180.8371   -59.4902        -32.4553     13.3930
                  NGC7714    CIV    88.2156   -55.5642         24.6809     13.9365
                  NGC7714   FeII    88.2156   -55.5642        -13.7500      9.2490
                  NGC7714     NV    88.2156   -55.5642        -31.6159     13.6059
                  NGC7714   SiIV    88.2156   -55.5642         17.7906     13.3552
                   PDS456   CII*    10.3922    11.1635          8.1240     14.7950
                   PDS456    CIV    10.3922    11.1635         -2.4403     14.8943
                   PDS456   FeII    10.3922    11.1635          5.8612     15.2629
                   PDS456     NV    10.3922    11.1635        -27.8510     14.3070
                   PDS456   NiII    10.3922    11.1635         11.1220     14.3680
                   PDS456    SII    10.3922    11.1635          8.1240     16.0180
                   PDS456   SiII    10.3922    11.1635          2.4083     15.0175
                   PDS456   SiIV    10.3922    11.1635        -14.8219     14.1188
              PG-1407+265   CII*    34.6687    72.5886        -26.7385     14.1109
              PG-1407+265    CIV    34.6687    72.5886        -29.4088     14.3680
              PG-1407+265   FeII    34.6687    72.5886        -54.3313     12.7565
              PG-1407+265     NV    34.6687    72.5886        -35.4480     13.6800
              PG-1407+265   NiII    34.6687    72.5886        -38.4450     13.8530
              PG-1407+265    SII    34.6687    72.5886        -21.1675     15.4518
              PG-1407+265   SiII    34.6687    72.5886        -32.4500     14.7060
              PG-1407+265   SiIV    34.6687    72.5886        -41.4430     13.7250
              PG-1522+101   CII*    14.8922    50.1217         -3.1610     14.2010
              PG-1522+101    CIV    14.8922    50.1217        -65.7112     14.2991
              PG-1522+101   FeII    14.8922    50.1217         35.8120     14.1610
              PG-1522+101     NV    14.8922    50.1217        -27.1440     14.0690
              PG-1522+101    SII    14.8922    50.1217         32.3919     15.3277
              PG-1522+101   SiII    14.8922    50.1217        -42.2734     14.2260
              PG-1522+101   SiIV    14.8922    50.1217        -12.1550     13.7150
              PG-1630+377   CII*    60.3421    42.9393        -11.2420     13.8730
              PG-1630+377    CIV    60.3421    42.9393        -30.3773     14.5013
              PG-1630+377   FeII    60.3421    42.9393         -2.7306     15.0118
              PG-1630+377   NiII    60.3421    42.9393          0.7490     13.6310
              PG-1630+377    SII    60.3421    42.9393        -13.0703     15.2033
              PG-1630+377   SiII    60.3421    42.9393         -6.8748     15.0746
              PG-1630+377   SiIV    60.3421    42.9393        -31.7573     13.8407
               PG0003+158   CII*   107.3184   -45.3258         -3.3680     14.1230
               PG0003+158    CIV   107.3184   -45.3258         -6.7265     14.0806
               PG0003+158   NiII   107.3184   -45.3258         -0.3700     14.1400
               PG0003+158    SII   107.3184   -45.3258        -15.6340     15.3286
               PG0003+158   SiII   107.3184   -45.3258        -35.3172     14.8154
               PG0003+158   SiIV   107.3184   -45.3258         10.6019     13.5347
               PG0052+251   CII*   123.9075   -37.4378         -4.7961     14.2394
               PG0052+251    CIV   123.9075   -37.4378         -8.1540     13.7200
               PG0052+251     NV   123.9075   -37.4378        -11.1520     12.9600
               PG0052+251   NiII   123.9075   -37.4378        -29.1390     13.8970
               PG0052+251    SII   123.9075   -37.4378        -11.8841     15.4195
               PG0052+251   SiIV   123.9075   -37.4378        -15.6275     13.3814
               PG0804+761   CII*   138.2789    31.0327        -13.9878     14.2444
               PG0804+761    CIV   138.2789    31.0327        -39.7890     14.2364
               PG0804+761   NiII   138.2789    31.0327        -26.8210     13.9660
               PG0804+761    SII   138.2789    31.0327        -16.5810     15.5230
               PG0804+761   SiII   138.2789    31.0327        -32.8977     15.4364
               PG0804+761   SiIV   138.2789    31.0327        -66.5488     13.6575
               PG0832+251   CII*   199.4907    33.1462         -8.1540     14.5100
               PG0832+251    CIV   199.4907    33.1462          0.8400     14.1030
               PG0832+251     NV   199.4907    33.1462         -2.8208     13.4792
               PG0832+251   NiII   199.4907    33.1462         -5.1560     13.8010
               PG0832+251    SII   199.4907    33.1462          0.8400     15.5580
               PG0832+251   SiII   199.4907    33.1462        -16.5225     15.2207
               PG0832+251   SiIV   199.4907    33.1462        -14.1500     13.4080
               PG0953+414   CII*   179.7861    51.7091         -9.9973     14.0824
               PG0953+414    CIV   179.7861    51.7091        -19.9401     13.9454
               PG0953+414   NiII   179.7861    51.7091         -3.2530     13.7640
               PG0953+414    SII   179.7861    51.7091        -18.0588     15.2857
               PG0953+414   SiII   179.7861    51.7091        -30.2340     14.8830
               PG0953+414   SiIV   179.7861    51.7091        -34.2172     13.4453
               PG1001+291   CII*   200.0835    53.2069        -29.7110     14.1690
               PG1001+291    CIV   200.0835    53.2069        -16.5814     14.2519
               PG1001+291     NV   200.0835    53.2069        -59.6910     13.6240
               PG1001+291   NiII   200.0835    53.2069        -47.6990     13.9140
               PG1001+291    SII   200.0835    53.2069        -32.7090     15.3520
               PG1001+291   SiIV   200.0835    53.2069        -77.6780     13.6220
               PG1011-040   CII*   246.5011    40.7487        -20.5328     14.2275
               PG1011-040    CIV   246.5011    40.7487          3.2990     13.9450
               PG1011-040   FeII   246.5011    40.7487         27.2597     15.0832
               PG1011-040   NiII   246.5011    40.7487        -14.6880     13.9970
               PG1011-040    SII   246.5011    40.7487         -8.6930     15.3300
               PG1011-040   SiII   246.5011    40.7487          6.9985     15.0804
               PG1011-040   SiIV   246.5011    40.7487          7.9344     13.4495
               PG1048+342   CII*   190.6024    63.4374        -20.8586     14.3378
               PG1048+342    CIV   190.6024    63.4374        -10.7202     14.2069
               PG1048+342   FeII   190.6024    63.4374        -28.8320     14.9360
               PG1048+342   NiII   190.6024    63.4374        -13.8420     14.1540
               PG1048+342    SII   190.6024    63.4374        -27.4415     15.4342
               PG1048+342   SiIV   190.6024    63.4374        -29.1401     13.7296
               PG1049-005   CII*   252.2763    49.8783         -8.4970     14.3190
               PG1049-005    CIV   252.2763    49.8783          6.4920     13.3910
               PG1049-005   FeII   252.2763    49.8783          8.9197     16.0438
               PG1049-005     NV   252.2763    49.8783          0.4970     13.5770
               PG1049-005   NiII   252.2763    49.8783        -38.4760     14.1020
               PG1049-005    SII   252.2763    49.8783        -17.4910     15.5850
               PG1049-005   SiII   252.2763    49.8783         24.7987     15.9038
               PG1115+407   CII*   172.2337    66.6686        -44.3730     13.9835
               PG1115+407    CIV   172.2337    66.6686        -50.3281     14.2444
               PG1115+407   NiII   172.2337    66.6686        -32.0790     14.0100
               PG1115+407    SII   172.2337    66.6686        -41.0730     15.3040
               PG1115+407   SiII   172.2337    66.6686        -46.9933     16.1463
               PG1115+407   SiIV   172.2337    66.6686        -44.0710     13.6790
               PG1116+215   CII*   223.3597    68.2091         -2.4880     13.7170
               PG1116+215    CIV   223.3597    68.2091          9.5347     14.2124
               PG1116+215     NV   223.3597    68.2091         -8.4840     13.4330
               PG1116+215   NiII   223.3597    68.2091        -41.4610     13.8830
               PG1116+215    SII   223.3597    68.2091        -34.9686     15.3792
               PG1116+215   SiII   223.3597    68.2091        -17.7667     14.7652
               PG1116+215   SiIV   223.3597    68.2091        -10.3503     13.7355
               PG1121+422   CII*   167.2577    66.8587        -52.4530     14.0870
               PG1121+422    CIV   167.2577    66.8587        -35.5350     14.1597
               PG1121+422   FeII   167.2577    66.8587          4.5062     14.6300
               PG1121+422    SII   167.2577    66.8587        -28.4700     15.3800
               PG1121+422   SiII   167.2577    66.8587        -28.2902     15.7870
               PG1121+422   SiIV   167.2577    66.8587        -45.7903     13.6571
               PG1126-041    CIV   267.6306    52.7453         21.6022     14.1289
               PG1126-041   NiII   267.6306    52.7453        -21.3490     14.1740
               PG1126-041   SiII   267.6306    52.7453          5.6320     15.0640
               PG1126-041   SiIV   267.6306    52.7453         16.7363     13.5972
               PG1222+216   CII*   255.0733    81.6598          5.1270     15.0180
               PG1222+216    CIV   255.0733    81.6598        -36.2948     14.5179
               PG1222+216   FeII   255.0733    81.6598         14.1866     15.7418
               PG1222+216   NiII   255.0733    81.6598        -24.8530     13.9690
               PG1222+216    SII   255.0733    81.6598        -21.3626     15.5284
               PG1222+216   SiII   255.0733    81.6598        -20.7914     15.2174
               PG1222+216   SiIV   255.0733    81.6598         -1.6853     13.6804
               PG1259+593   CII*   120.5556    58.0478        -23.2359     13.9131
               PG1259+593    CIV   120.5556    58.0478        -32.6292     13.9048
               PG1259+593   FeII   120.5556    58.0478       -129.6633     13.1204
               PG1259+593   NiII   120.5556    58.0478        -19.1950     13.7740
               PG1259+593    SII   120.5556    58.0478        -44.8414     15.2050
               PG1259+593   SiII   120.5556    58.0478        -50.1075     15.1373
               PG1259+593   SiIV   120.5556    58.0478        -31.4764     13.4819
               PG1352+183   CII*     4.3748    72.8738        -22.4389     13.9786
               PG1352+183    CIV     4.3748    72.8738        -43.0751     14.4364
               PG1352+183   FeII     4.3748    72.8738        -30.9311     16.1526
               PG1352+183     NV     4.3748    72.8738        -46.2050     13.7760
               PG1352+183   NiII     4.3748    72.8738        -19.2240     13.5540
               PG1352+183    SII     4.3748    72.8738        -22.2220     15.1810
               PG1352+183   SiII     4.3748    72.8738        -29.9625     14.8945
               PG1352+183   SiIV     4.3748    72.8738        -43.2070     13.6980
               PG1424+240   CII*    29.4874    68.2076        -17.7118     14.2420
               PG1424+240    CIV    29.4874    68.2076        -19.6730     14.4140
               PG1424+240   FeII    29.4874    68.2076          4.3100     13.9540
               PG1424+240     NV    29.4874    68.2076        -19.6730     13.4140
               PG1424+240    SII    29.4874    68.2076         -7.7232     15.4199
               PG1424+240   SiII    29.4874    68.2076        -13.6770     15.2270
               PG1424+240   SiIV    29.4874    68.2076        -22.6710     13.7440
               PG1435-067    CIV   343.9784    47.2062        -42.9723     14.3245
               PG1435-067   NiII   343.9784    47.2062         -2.4780     13.9430
               PG1435-067   SiII   343.9784    47.2062        -18.5632     14.6606
               PG1626+554   CII*    84.5149    42.1886        -12.7570     13.8930
               PG1626+554    CIV    84.5149    42.1886        -41.4104     14.4572
               PG1626+554   FeII    84.5149    42.1886        -24.7687     14.4301
               PG1626+554     NV    84.5149    42.1886         -3.7630     13.2010
               PG1626+554   NiII    84.5149    42.1886        -18.7530     13.5820
               PG1626+554    SII    84.5149    42.1886        -47.4365     15.1042
               PG1626+554   SiII    84.5149    42.1886        -48.7785     14.8464
               PG1626+554   SiIV    84.5149    42.1886        -24.9960     13.6182
                  PHL1598   CII*    40.5381   -40.9564          5.3022     14.3530
                  PHL1598    CIV    40.5381   -40.9564         17.1945     14.2587
                  PHL1598   NiII    40.5381   -40.9564         -3.6510     14.1260
                  PHL1598   SiII    40.5381   -40.9564         -3.6510     14.7180
                  PHL1598   SiIV    40.5381   -40.9564         32.6289     13.5940
                  PHL1811   CII*    47.4732   -44.8152        -13.5080     14.1550
                  PHL1811    CIV    47.4732   -44.8152         -0.1240     14.3770
                  PHL1811     NV    47.4732   -44.8152        -10.5100     13.3990
                  PHL1811   NiII    47.4732   -44.8152         10.4760     13.6840
                  PHL1811    SII    47.4732   -44.8152          1.4820     15.4810
                  PHL1811   SiII    47.4732   -44.8152         -5.8357     14.5144
                  PHL1811   SiIV    47.4732   -44.8152          5.2330     13.6463
                  PHL2525   CII*    80.6834   -71.3172         -7.9530     13.8910
                  PHL2525    CIV    80.6834   -71.3172        -45.9329     14.4193
                  PHL2525   NiII    80.6834   -71.3172          1.0410     13.4480
                  PHL2525    SII    80.6834   -71.3172          1.0410     15.3570
                  PHL2525   SiII    80.6834   -71.3172        -93.7498     16.4735
                  PHL2525   SiIV    80.6834   -71.3172        -41.4204     13.9015
              PKS0405-123   CII*   204.9271   -41.7563        -16.9180     14.6710
              PKS0405-123    CIV   204.9271   -41.7563        -13.5640     13.6838
              PKS0405-123   NiII   204.9271   -41.7563          4.0680     13.4810
              PKS0405-123    SII   204.9271   -41.7563         -4.9260     15.5360
              PKS0405-123   SiII   204.9271   -41.7563          2.7865     14.8645
              PKS0405-123   SiIV   204.9271   -41.7563         -1.9280     13.2920
              PKS0552-640    CIV   273.4656   -30.6114         25.7458     14.2021
              PKS0552-640   FeII   273.4656   -30.6114         55.3850     13.7260
              PKS0552-640   NiII   273.4656   -30.6114        -10.5690     13.3980
              PKS0552-640   SiII   273.4656   -30.6114         26.8871     14.9342
              PKS0552-640   SiIV   273.4656   -30.6114         32.0384     13.4515
              PKS0558-504   CII*   257.9622   -28.5693         -3.7490     14.3970
              PKS0558-504    CIV   257.9622   -28.5693          9.6955     14.4108
              PKS0558-504   FeII   257.9622   -28.5693          5.2450     14.8620
              PKS0558-504     NV   257.9622   -28.5693         -0.7510     13.5660
              PKS0558-504   NiII   257.9622   -28.5693         -0.7510     13.8490
              PKS0558-504    SII   257.9622   -28.5693         14.2390     15.5940
              PKS0558-504   SiII   257.9622   -28.5693         -7.6423     14.6139
              PKS0558-504   SiIV   257.9622   -28.5693         10.6069     13.7952
              PKS0637-752    CII   286.3684   -27.1584         -2.0420     15.4580
              PKS0637-752   CII*   286.3684   -27.1584          6.7741     16.1489
              PKS0637-752    CIV   286.3684   -27.1584         45.6290     13.7346
              PKS0637-752   MgII   286.3684   -27.1584         -2.0420     16.0180
              PKS0637-752     NV   286.3684   -27.1584         36.9310     13.4640
              PKS0637-752   NiII   286.3684   -27.1584        -17.0898     14.0000
              PKS0637-752    SII   286.3684   -27.1584          0.9560     15.3510
              PKS0637-752   SiII   286.3684   -27.1584         11.5271     14.7946
              PKS0637-752   SiIV   286.3684   -27.1584         65.2698     13.3919
              PKS1302-102   CII*   308.5914    52.1613        -21.2860     14.0390
              PKS1302-102    CIV   308.5914    52.1613          8.6930     14.1070
              PKS1302-102   FeII   308.5914    52.1613        -31.6876     14.6017
              PKS1302-102     NV   308.5914    52.1613        -18.2880     13.3830
              PKS1302-102   NiII   308.5914    52.1613         29.6790     13.8180
              PKS1302-102    SII   308.5914    52.1613          5.6950     15.4730
              PKS1302-102   SiII   308.5914    52.1613         -3.2980     15.3420
              PKS1302-102   SiIV   308.5914    52.1613         -3.2980     13.6310
              PKS2005-489   CII*   350.3731   -32.6008         11.7410     14.5094
              PKS2005-489    CIV   350.3731   -32.6008         55.7135     14.8536
              PKS2005-489   FeII   350.3731   -32.6008         38.3187     15.5359
              PKS2005-489     NV   350.3731   -32.6008         33.4145     14.1130
              PKS2005-489   NiII   350.3731   -32.6008          2.2030     13.7860
              PKS2005-489    SII   350.3731   -32.6008         10.7606     15.6659
              PKS2005-489   SiII   350.3731   -32.6008         20.3629     15.6962
              PKS2005-489   SiIV   350.3731   -32.6008         49.4475     14.1048
            PMNJ1103-2329   CII*   273.1895    33.0796          3.8800     14.4110
            PMNJ1103-2329    CIV   273.1895    33.0796         14.4334     13.8542
            PMNJ1103-2329   FeII   273.1895    33.0796        -26.1000      9.0570
            PMNJ1103-2329   NiII   273.1895    33.0796         21.8670     14.0140
            PMNJ1103-2329    SII   273.1895    33.0796          3.8800     15.4450
            PMNJ1103-2329   SiII   273.1895    33.0796          4.6036     15.4362
            PMNJ1103-2329   SiIV   273.1895    33.0796         57.9966     13.4332
            PMNJ2345-1555   CII*    65.6728   -70.9852         -4.3890     13.7550
            PMNJ2345-1555    CIV    65.6728   -70.9852         -7.5600     14.4196
            PMNJ2345-1555   FeII    65.6728   -70.9852        -22.3760     14.5760
            PMNJ2345-1555     NV    65.6728   -70.9852          1.6070     13.5790
            PMNJ2345-1555   NiII    65.6728   -70.9852        -22.3760     13.7610
            PMNJ2345-1555    SII    65.6728   -70.9852        -10.0589     15.3778
            PMNJ2345-1555   SiII    65.6728   -70.9852         -4.7089     14.5996
            PMNJ2345-1555   SiIV    65.6728   -70.9852        -15.7935     13.7010
                Q0349-146    CIV   205.4845   -46.3249        -12.2195     14.0126
                Q0349-146   FeII   205.4845   -46.3249         -7.5570      9.4430
                Q0349-146   NiII   205.4845   -46.3249        -19.5490     13.9230
                Q0349-146    SII   205.4845   -46.3249        -16.5510     15.5550
                Q0349-146   SiII   205.4845   -46.3249          6.3025     14.6583
                Q0349-146   SiIV   205.4845   -46.3249         -7.5570     13.4400
                Q0850+440    CIV   177.0833    39.9376        -81.1523     14.1849
                Q0850+440   NiII   177.0833    39.9376          0.6990     13.9840
                Q0850+440   SiII   177.0833    39.9376        -12.6012     15.0032
                Q1354+195    CIV     8.9927    73.0416        -82.8103     14.7921
                Q1354+195   NiII     8.9927    73.0416        -24.9150     14.4280
                Q1354+195   SiIV     8.9927    73.0416        -18.6711     13.9123
                Q1545+210   CII*    33.8982    49.4575        -16.6986     14.1949
                Q1545+210    CIV    33.8982    49.4575        -22.8111     14.4161
                Q1545+210   FeII    33.8982    49.4575        -36.9870     14.3270
                Q1545+210     NV    33.8982    49.4575        -24.8651     13.7871
                Q1545+210   NiII    33.8982    49.4575         -7.0080     13.9470
                Q1545+210    SII    33.8982    49.4575        -27.9940     15.4850
                Q1545+210   SiII    33.8982    49.4575        -24.9960     14.8430
                Q1545+210   SiIV    33.8982    49.4575        -29.1467     13.9409
                Q2135-145    CIV    38.4023   -43.3339         18.6284     14.1487
                Q2135-145   NiII    38.4023   -43.3339         10.4620     13.7720
                Q2135-145   SiII    38.4023   -43.3339         -5.4848     15.0629
            QSO-B1215+303   CII*   188.8749    82.0529         -0.3695     14.1557
            QSO-B1215+303    CIV   188.8749    82.0529        -33.5409     13.9790
            QSO-B1215+303   FeII   188.8749    82.0529        -48.0276     14.3290
            QSO-B1215+303     NV   188.8749    82.0529        -33.3063     13.4258
            QSO-B1215+303   NiII   188.8749    82.0529        -36.0360     13.8470
            QSO-B1215+303    SII   188.8749    82.0529        -24.1377     15.2805
            QSO-B1215+303   SiIV   188.8749    82.0529        -22.1200     13.3917
           QSO-J0456-2159    CIV   221.9787   -34.6503         22.7831     14.0391
           QSO-J0456-2159   SiII   221.9787   -34.6503          4.8740     14.6300
           QSO-J0456-2159   SiIV   221.9787   -34.6503          3.1603     13.2792
                   RBS144   CII*   299.4835   -65.8360         -4.4540     13.8350
                   RBS144    CIV   299.4835   -65.8360         15.7340     14.0107
                   RBS144   FeII   299.4835   -65.8360         -1.4560      9.5920
                   RBS144     NV   299.4835   -65.8360        -13.4480     13.3660
                   RBS144   NiII   299.4835   -65.8360         -7.4520     13.6600
                   RBS144    SII   299.4835   -65.8360         -4.4540     15.2030
                   RBS144   SiIV   299.4835   -65.8360         10.5360     13.4570
                  RBS1666   CII*   358.7327   -31.0031        -16.4610     14.6040
                  RBS1666    CIV   358.7327   -31.0031         34.8741     14.5629
                  RBS1666   FeII   358.7327   -31.0031        -57.0402     13.9227
                  RBS1666     NV   358.7327   -31.0031         10.5200     13.9510
                  RBS1666   NiII   358.7327   -31.0031         19.0029     14.0011
                  RBS1666    SII   358.7327   -31.0031          4.8884     15.6054
                  RBS1666   SiII   358.7327   -31.0031         22.6541     14.9953
                  RBS1666   SiIV   358.7327   -31.0031         39.6964     13.9805
                  RBS1892   CII*   345.8979   -58.3672        -12.5887     13.8522
                  RBS1892    CIV   345.8979   -58.3672         -0.9545     14.2556
                  RBS1892   FeII   345.8979   -58.3672        -48.2864     13.3610
                  RBS1892     NV   345.8979   -58.3672         21.7889     13.3331
                  RBS1892   NiII   345.8979   -58.3672          5.6720     13.5490
                  RBS1892    SII   345.8979   -58.3672         -9.3180     15.0080
                  RBS1892   SiII   345.8979   -58.3672         -6.9862     14.9003
                  RBS1892   SiIV   345.8979   -58.3672          5.6720     13.4550
                  RBS2000   CII*   350.1952   -67.5845        -10.2860     14.1700
                  RBS2000    CIV   350.1952   -67.5845        -29.4862     14.3071
                  RBS2000   FeII   350.1952   -67.5845        -43.2630      9.1100
                  RBS2000     NV   350.1952   -67.5845         -1.2920     13.6620
                  RBS2000   NiII   350.1952   -67.5845        -16.2810     13.9020
                  RBS2000    SII   350.1952   -67.5845        -10.2860     15.1430
                  RBS2000   SiII   350.1952   -67.5845        -13.6923     15.0130
                  RBS2000   SiIV   350.1952   -67.5845        -19.8770     13.6475
                  RBS2055   CII*   106.6723   -34.6585         -8.6339     14.2355
                  RBS2055    CIV   106.6723   -34.6585        -16.0412     14.2879
                  RBS2055   FeII   106.6723   -34.6585        -47.4115      9.9949
                  RBS2055     NV   106.6723   -34.6585         -6.7470     13.3510
                  RBS2055   NiII   106.6723   -34.6585          5.2450     13.8980
                  RBS2055    SII   106.6723   -34.6585        -21.7625     15.4896
                  RBS2055   SiII   106.6723   -34.6585        -17.7582     14.8262
                  RBS2055   SiIV   106.6723   -34.6585        -10.4100     13.7997
           RXJ0028.1+3103   CII*   117.0873   -31.5443          3.2588     15.1259
           RXJ0028.1+3103    CIV   117.0873   -31.5443        -12.8572     14.1582
           RXJ0028.1+3103   FeII   117.0873   -31.5443        -23.3930     11.9320
           RXJ0028.1+3103   NiII   117.0873   -31.5443         -8.4040     14.0010
           RXJ0028.1+3103    SII   117.0873   -31.5443        -16.4639     15.7885
           RXJ0028.1+3103   SiII   117.0873   -31.5443        -33.3160     15.0909
           RXJ0028.1+3103   SiIV   117.0873   -31.5443        -45.4701     13.7406
           RXJ0439.6-5311   CII*   261.2160   -40.9268         -5.4386     14.4197
           RXJ0439.6-5311    CIV   261.2160   -40.9268         -0.9002     14.3665
           RXJ0439.6-5311   FeII   261.2160   -40.9268         -2.7020     14.6250
           RXJ0439.6-5311     NV   261.2160   -40.9268         -8.6980     13.6470
           RXJ0439.6-5311   NiII   261.2160   -40.9268         -2.7020     13.6960
           RXJ0439.6-5311    SII   261.2160   -40.9268         27.2770     15.0160
           RXJ0439.6-5311   SiII   261.2160   -40.9268         24.1915     16.1918
           RXJ0439.6-5311   SiIV   261.2160   -40.9268         -2.7020     13.5010
           RXJ1230.8+0115   CII*   291.2603    63.6598         33.1671     15.0538
           RXJ1230.8+0115    CIV   291.2603    63.6598          3.2451     14.2460
           RXJ1230.8+0115   FeII   291.2603    63.6598        -25.3282     14.5881
           RXJ1230.8+0115     NV   291.2603    63.6598         -9.7370     13.7640
           RXJ1230.8+0115   NiII   291.2603    63.6598         11.2480     14.5810
           RXJ1230.8+0115    SII   291.2603    63.6598        -13.0932     15.2985
           RXJ1230.8+0115   SiII   291.2603    63.6598          2.2540     15.0170
           RXJ1230.8+0115   SiIV   291.2603    63.6598         -3.7706     13.5779
           RXJ2154.1-4414   CII*   355.1792   -50.8646          2.6420     13.8980
           RXJ2154.1-4414    CIV   355.1792   -50.8646         18.8528     14.2172
           RXJ2154.1-4414     NV   355.1792   -50.8646         29.6230     13.4850
           RXJ2154.1-4414   NiII   355.1792   -50.8646         -0.3560     13.4940
           RXJ2154.1-4414    SII   355.1792   -50.8646          5.6400     15.1540
           RXJ2154.1-4414   SiII   355.1792   -50.8646          8.8806     14.8903
           RXJ2154.1-4414   SiIV   355.1792   -50.8646         23.1214     13.6498
          RXS-J00057-5007   CII*   320.7101   -65.4054          1.2280     13.7860
          RXS-J00057-5007    CIV   320.7101   -65.4054        -13.7610     14.1610
          RXS-J00057-5007   FeII   320.7101   -65.4054         -1.7700     14.3940
          RXS-J00057-5007     NV   320.7101   -65.4054         13.2200     13.4580
          RXS-J00057-5007   NiII   320.7101   -65.4054        -10.7630     13.5600
          RXS-J00057-5007    SII   320.7101   -65.4054         -4.7680     15.0290
          RXS-J00057-5007   SiII   320.7101   -65.4054        -16.7590     14.4710
          RXS-J00057-5007   SiIV   320.7101   -65.4054        -12.4653     13.6902
          RXS-J21388-3828   CII*     4.5093   -48.4647         -7.1990     14.0320
          RXS-J21388-3828    CIV     4.5093   -48.4647         10.6337     14.6671
          RXS-J21388-3828   FeII     4.5093   -48.4647         94.7163     13.2731
          RXS-J21388-3828     NV     4.5093   -48.4647         19.7820     13.6970
          RXS-J21388-3828   NiII     4.5093   -48.4647         -7.1990     13.7560
          RXS-J21388-3828    SII     4.5093   -48.4647        -16.1930     15.6070
          RXS-J21388-3828   SiII     4.5093   -48.4647        -19.3414     14.3746
          RXS-J21388-3828   SiIV     4.5093   -48.4647        -24.6295     13.8138
          RXS-J23218-7026   CII*   313.2924   -44.8373          0.6250     14.1840
          RXS-J23218-7026    CIV   313.2924   -44.8373         24.6090     14.2600
          RXS-J23218-7026   FeII   313.2924   -44.8373         -2.3729     14.3880
          RXS-J23218-7026   NiII   313.2924   -44.8373          3.6230     13.5310
          RXS-J23218-7026    SII   313.2924   -44.8373          0.6250     15.4010
          RXS-J23218-7026   SiII   313.2924   -44.8373         -3.1993     15.0132
          RXS-J23218-7026   SiIV   313.2924   -44.8373         12.6170     13.6860
           RXSJ00437+3725   CII*   121.2326   -25.4243        -11.2930     14.3970
           RXSJ00437+3725    CIV   121.2326   -25.4243        -33.5647     14.0470
           RXSJ00437+3725     NV   121.2326   -25.4243        -83.2430     13.5110
           RXSJ00437+3725   NiII   121.2326   -25.4243        -23.2850     14.0790
           RXSJ00437+3725    SII   121.2326   -25.4243        -17.2890     15.6290
           RXSJ00437+3725   SiII   121.2326   -25.4243        -26.2830     14.8880
           RXSJ00437+3725   SiIV   121.2326   -25.4243        -23.2850     13.5460
           RXSJ00508+3536   CII*   122.7965   -27.2596        -21.3354     14.3977
           RXSJ00508+3536    CIV   122.7965   -27.2596        -40.1739     14.0589
           RXSJ00508+3536   FeII   122.7965   -27.2596        104.8815     14.3490
           RXSJ00508+3536   NiII   122.7965   -27.2596        -30.0210     14.1180
           RXSJ00508+3536    SII   122.7965   -27.2596        -15.0320     15.5730
           RXSJ00508+3536   SiII   122.7965   -27.2596        -21.0849     16.3265
           RXSJ00508+3536   SiIV   122.7965   -27.2596        -37.6898     13.5467
           RXSJ01188+3836   CII*   128.7826   -23.9549        -14.9762     14.4550
           RXSJ01188+3836    CIV   128.7826   -23.9549        -25.3850     13.9389
           RXSJ01188+3836   FeII   128.7826   -23.9549        -22.0930      9.9900
           RXSJ01188+3836   NiII   128.7826   -23.9549        -28.0890     14.1620
           RXSJ01188+3836    SII   128.7826   -23.9549        -19.0950     15.6720
           RXSJ01188+3836   SiII   128.7826   -23.9549        -28.3416     15.4563
           RXSJ01188+3836   SiIV   128.7826   -23.9549        -32.7405     13.5399
          RXSJ0155.6+3115   CII*   138.7027   -29.6442         -7.7440     14.3050
          RXSJ0155.6+3115    CIV   138.7027   -29.6442        -10.7420     13.9960
          RXSJ0155.6+3115   FeII   138.7027   -29.6442        -25.7320      9.6200
          RXSJ0155.6+3115     NV   138.7027   -29.6442        -40.7210     13.5230
          RXSJ0155.6+3115   NiII   138.7027   -29.6442        -28.7300     14.0860
          RXSJ0155.6+3115    SII   138.7027   -29.6442        -16.7380     15.5130
          RXSJ0155.6+3115   SiII   138.7027   -29.6442          0.5669     14.8520
          RXSJ0155.6+3115   SiIV   138.7027   -29.6442        -36.3326     13.3859
               S50716+714   CII*   143.9810    28.0176        -17.0172     14.1966
               S50716+714    CIV   143.9810    28.0176        -42.8551     14.2028
               S50716+714   FeII   143.9810    28.0176          1.7150     14.4815
               S50716+714     NV   143.9810    28.0176        -46.7110     13.4070
               S50716+714   NiII   143.9810    28.0176        -34.7190     13.8270
               S50716+714    SII   143.9810    28.0176        -10.3392     15.5750
