                      QSO    ion       Glon       Glat  weighted_v_LSR  total_logN
                  AKN-564   FeII    92.1385   -25.3368          4.1800      9.8500
                  AKN-564     NV    92.1385   -25.3368        -28.7970     13.8250
                  AKN-564   NiII    92.1385   -25.3368         -7.8110     14.1260
                  AKN-564    SII    92.1385   -25.3368        -13.9120     15.5911
                  AKN-564   SiII    92.1385   -25.3368        -67.7062     16.8214
                  AKN-564   SiIV    92.1385   -25.3368         -7.4612     14.0328
               B0117-2837   CII*   225.7307   -83.6507         26.0145     14.4402
               B0117-2837    CIV   225.7307   -83.6507         -8.3630     14.3853
               B0117-2837   FeII   225.7307   -83.6507         57.3883     15.0294
               B0117-2837   NiII   225.7307   -83.6507         -6.6990     13.3880
               B0117-2837    SII   225.7307   -83.6507        -12.6950     15.3650
               B0117-2837   SiIV   225.7307   -83.6507        -35.5045     13.7496
                 B0120-28   AlII   227.7754   -82.9332        -29.9412     14.2125
                 B0120-28   CII*   227.7754   -82.9332        -19.5713     13.9452
                 B0120-28    CIV   227.7754   -82.9332        -46.3175     14.6964
                 B0120-28   FeII   227.7754   -82.9332          8.4272     16.3340
                 B0120-28   NiII   227.7754   -82.9332         -6.9270     13.7540
                 B0120-28   SiIV   227.7754   -82.9332         -9.3740     13.6341
               CAL-F-COPY    CIV   277.1769   -35.4212          6.7352     14.2387
               CAL-F-COPY   FeII   277.1769   -35.4212        -14.9488     11.1354
               CAL-F-COPY   NiII   277.1769   -35.4212         -0.8350     13.6140
               CAL-F-COPY    SII   277.1769   -35.4212          2.1629     17.9053
               CAL-F-COPY   SiIV   277.1769   -35.4212          8.6719     13.4481
                 CSO-0873    CIV    37.6436    83.6604        -24.6618     14.2477
                 CSO-0873   NiII    37.6436    83.6604        -14.3610     18.1600
                 CSO-0873   SiII    37.6436    83.6604        -14.3610     17.1220
                   CTS487   CII*     5.5445   -69.4435        -12.1310     15.6480
                   CTS487    CIV     5.5445   -69.4435        -38.5092     14.1390
                   CTS487     NV     5.5445   -69.4435        -21.1250     13.1930
                   CTS487   NiII     5.5445   -69.4435        -12.1310     13.7310
                   CTS487    SII     5.5445   -69.4435        -15.1290     15.2330
                   CTS487   SiII     5.5445   -69.4435        -20.0810     14.2535
                   CTS487   SiIV     5.5445   -69.4435        -38.9087     13.5248
               ESO-141-55   CII*   338.1834   -26.7112         -3.6096     14.5031
               ESO-141-55    CIV   338.1834   -26.7112        -13.5130     14.6499
               ESO-141-55   FeII   338.1834   -26.7112         21.6367      9.6553
               ESO-141-55     NV   338.1834   -26.7112          9.4901     13.7306
               ESO-141-55   NiII   338.1834   -26.7112         23.6784     13.8557
               ESO-141-55    SII   338.1834   -26.7112          5.1297     16.0810
               ESO-141-55   SiII   338.1834   -26.7112         22.8718     15.0065
               ESO-141-55   SiIV   338.1834   -26.7112          1.3680     13.8526
                 FAIRALL9   CII*   295.0729   -57.8266         -6.5283     13.9788
                 FAIRALL9    CIV   295.0729   -57.8266         21.1555     14.1888
                 FAIRALL9   NiII   295.0729   -57.8266          3.3690     13.6730
                 FAIRALL9    SII   295.0729   -57.8266         -0.6889     15.2934
                 FAIRALL9   SIII   295.0729   -57.8266        -17.6170     14.4890
                 FAIRALL9   SiII   295.0729   -57.8266         -2.3372     15.5010
                 FAIRALL9   SiIV   295.0729   -57.8266          8.3563     13.5653
           FBQSJ1010+3003   CII*   198.4271    54.6252          2.1954     14.7682
           FBQSJ1010+3003    CIV   198.4271    54.6252          3.7136     14.2231
           FBQSJ1010+3003     NV   198.4271    54.6252          5.5991     13.6629
           FBQSJ1010+3003   NiII   198.4271    54.6252        -40.6271     16.3787
           FBQSJ1010+3003   SiIV   198.4271    54.6252        -37.0640     13.6971
                H1821+643    CIV    94.0025    27.4170        -19.8772     14.7070
                H1821+643   NiII    94.0025    27.4170        -79.4430     13.7760
                H1821+643   SiII    94.0025    27.4170        -39.6249     15.1481
      HB89-0107-025-NED05   CII*   134.0292   -64.7794          6.6410     14.1500
      HB89-0107-025-NED05    CIV   134.0292   -64.7794        -34.5080     14.1991
      HB89-0107-025-NED05     NV   134.0292   -64.7794        -44.3230     13.8400
      HB89-0107-025-NED05   NiII   134.0292   -64.7794        -29.3340     13.6580
      HB89-0107-025-NED05    SII   134.0292   -64.7794          9.6390     15.2200
      HB89-0107-025-NED05   SiII   134.0292   -64.7794        -23.3380     14.3430
      HB89-0107-025-NED05   SiIV   134.0292   -64.7794        -18.0613     13.5082
            HB89-0232-042   CII*   174.4627   -56.1555        -20.2920     13.9490
            HB89-0232-042    CIV   174.4627   -56.1555        -20.2920     14.0170
            HB89-0232-042   NiII   174.4627   -56.1555        -11.2980     13.7410
            HB89-0232-042    SII   174.4627   -56.1555          3.6920     15.2130
            HB89-0232-042   SiII   174.4627   -56.1555        -24.6027     16.1409
            HB89-0232-042   SiIV   174.4627   -56.1555        -12.5972     13.3531
              HE0056-3622   CII*   293.7191   -80.8980        -27.1940     13.7920
              HE0056-3622    CIV   293.7191   -80.8980         20.0692     14.4253
              HE0056-3622     NV   293.7191   -80.8980        -39.1860     13.5830
              HE0056-3622   NiII   293.7191   -80.8980        -18.2000     13.5080
              HE0056-3622    SII   293.7191   -80.8980         -6.2090     15.2860
              HE0056-3622   SiIV   293.7191   -80.8980         -6.0924     13.6760
              HE0153-4520   CII*   271.7958   -67.9750         -0.8030     13.9170
              HE0153-4520    CIV   271.7958   -67.9750          7.3204     14.0794
              HE0153-4520   FeII   271.7958   -67.9750         -6.7990     15.0080
              HE0153-4520     NV   271.7958   -67.9750         17.1840     13.2600
              HE0153-4520   NiII   271.7958   -67.9750        -12.7950     13.6060
              HE0153-4520    SII   271.7958   -67.9750         -0.8030     15.3010
              HE0153-4520   SiII   271.7958   -67.9750         -1.9586     14.5331
              HE0153-4520   SiIV   271.7958   -67.9750         -6.7990     13.4680
              HE0226-4110   CII*   253.9407   -65.7748         -2.2710     13.9190
              HE0226-4110    CIV   253.9407   -65.7748          7.5224     14.0830
              HE0226-4110   NiII   253.9407   -65.7748          0.7260     16.0600
              HE0226-4110    SII   253.9407   -65.7748          0.7260     15.2250
              HE0226-4110   SiII   253.9407   -65.7748          4.4189     14.0479
              HE0226-4110   SiIV   253.9407   -65.7748         -5.2690     13.4360
              HE0238-1904   CII*   200.4801   -63.6337        -10.5890     14.2510
              HE0238-1904    CIV   200.4801   -63.6337         12.4784     14.6634
              HE0238-1904     NV   200.4801   -63.6337        -10.5890     13.0590
              HE0238-1904   NiII   200.4801   -63.6337         -7.5910     13.5050
              HE0238-1904    SII   200.4801   -63.6337         -7.5910     15.7720
              HE0238-1904   SiIV   200.4801   -63.6337         -7.1727     13.5197
              HE0435-5304   CII*   261.0247   -41.3746         22.0490     14.8568
              HE0435-5304    CIV   261.0247   -41.3746         -7.3304     14.3607
              HE0435-5304     NV   261.0247   -41.3746         15.3060     13.2760
              HE0435-5304   NiII   261.0247   -41.3746        -11.6750     14.4060
              HE0435-5304    SII   261.0247   -41.3746          6.3120     15.0430
              HE0435-5304   SiII   261.0247   -41.3746         10.2801     14.9282
              HE0435-5304   SiIV   261.0247   -41.3746        -34.3481     13.4613
              HE0439-5254   CII*   260.6931   -40.9014        -33.6435     15.7391
              HE0439-5254    CIV   260.6931   -40.9014        -17.7480     14.3010
              HE0439-5254     NV   260.6931   -40.9014        -32.7370     13.7440
              HE0439-5254   NiII   260.6931   -40.9014        -56.4414     14.0715
              HE0439-5254    SII   260.6931   -40.9014          9.2340     14.9800
              HE0439-5254   SiII   260.6931   -40.9014         10.4994     14.8675
              HE0439-5254   SiIV   260.6931   -40.9014         17.1289     13.8354
             HS-0033+4300   CII*   120.0257   -19.5089        -33.9010     14.5270
             HS-0033+4300    CIV   120.0257   -19.5089        -12.9160     13.9050
             HS-0033+4300   FeII   120.0257   -19.5089        -21.9311     14.3712
             HS-0033+4300     NV   120.0257   -19.5089         20.0610     13.6650
             HS-0033+4300   NiII   120.0257   -19.5089         -6.9200     14.0100
             HS-0033+4300    SII   120.0257   -19.5089        -68.5576     16.3928
             HS-0033+4300   SiII   120.0257   -19.5089        -21.8407     14.8754
             HS-0033+4300   SiIV   120.0257   -19.5089        -24.9080     13.6110
              HS1102+3441   CII*   188.5633    66.2186        -27.7056     14.1556
              HS1102+3441    CIV   188.5633    66.2186        -42.4067     14.1020
              HS1102+3441     NV   188.5633    66.2186        -27.9120     13.5490
              HS1102+3441   NiII   188.5633    66.2186        -35.7810     14.2305
              HS1102+3441    SII   188.5633    66.2186        -36.9060     15.4430
              HS1102+3441   SiII   188.5633    66.2186        -43.7467     15.0961
              HS1102+3441   SiIV   188.5633    66.2186        -28.0542     13.7383
              HS2154+2228    CIV    78.4261   -24.6985         21.4265     14.4590
              HS2154+2228   NiII    78.4261   -24.6985        -23.7030     14.4000
              HS2154+2228   SiII    78.4261   -24.6985        -10.9842     15.5929
    ICRF-J122011.8+020342   CII*   284.9919    63.8400         25.1421     16.2873
    ICRF-J122011.8+020342    CIV   284.9919    63.8400        -18.4143     14.4251
    ICRF-J122011.8+020342   FeII   284.9919    63.8400        -22.7593      9.7830
    ICRF-J122011.8+020342     NV   284.9919    63.8400          4.5920     13.8870
    ICRF-J122011.8+020342   NiII   284.9919    63.8400         -7.3990     13.9800
    ICRF-J122011.8+020342    SII   284.9919    63.8400        -13.4077     15.3874
    ICRF-J122011.8+020342   SiII   284.9919    63.8400          1.5940     15.0100
    ICRF-J122011.8+020342   SiIV   284.9919    63.8400        -16.3930     13.7810
                   IO-AND   CII*   122.2786   -23.1812        -26.3561     14.4719
                   IO-AND    CIV   122.2786   -23.1812         -8.9007     13.7757
                   IO-AND     NV   122.2786   -23.1812        -23.1650     13.1490
                   IO-AND   NiII   122.2786   -23.1812        -23.1806     13.9695
                   IO-AND    SII   122.2786   -23.1812        -21.2364     15.7134
                   IO-AND   SiIV   122.2786   -23.1812        -36.5487     13.3551
         IRAS-F04250-5718    CIV   266.9868   -41.9963        -12.5287     14.1698
         IRAS-F04250-5718     NV   266.9868   -41.9963         13.3855     13.1528
         IRAS-F04250-5718   NiII   266.9868   -41.9963          1.0399     13.4100
         IRAS-F04250-5718    SII   266.9868   -41.9963         13.0320     15.1380
         IRAS-F04250-5718   SiIV   266.9868   -41.9963        -16.7114     13.7017
         IRAS-F22456-5125   AlII   338.5115   -56.6295         -1.2950     13.3420
         IRAS-F22456-5125    CIV   338.5115   -56.6295          5.7457     13.9765
         IRAS-F22456-5125     NI   338.5115   -56.6295        -10.2890     19.2900
         IRAS-F22456-5125     NV   338.5115   -56.6295          7.6990     13.3750
         IRAS-F22456-5125   NiII   338.5115   -56.6295         -1.2950     13.3490
         IRAS-F22456-5125    SII   338.5115   -56.6295        -10.2890     14.9570
         IRAS-F22456-5125   SiII   338.5115   -56.6295         -4.1015     14.4380
         IRAS-F22456-5125   SiIV   338.5115   -56.6295          4.5620     13.3704
         IRAS-L06229-6434   CII*   274.3115   -27.3195         16.5410     15.3180
         IRAS-L06229-6434    CIV   274.3115   -27.3195         33.8271     14.1092
         IRAS-L06229-6434     NV   274.3115   -27.3195        -13.4380     12.9940
         IRAS-L06229-6434   NiII   274.3115   -27.3195         -7.4420     13.5720
         IRAS-L06229-6434    SII   274.3115   -27.3195         13.5294     15.7502
         IRAS-L06229-6434   SiIV   274.3115   -27.3195         15.3683     13.3683
          IRASF00040+4325   CII*   114.4161   -18.4214        -25.2485     14.9577
          IRASF00040+4325    CIV   114.4161   -18.4214        -22.9690     13.5997
          IRASF00040+4325   FeII   114.4161   -18.4214        -21.6680     15.8153
          IRASF00040+4325     NV   114.4161   -18.4214        -11.2280     13.0880
          IRASF00040+4325   NiII   114.4161   -18.4214        -12.6119     13.9341
          IRASF00040+4325    SII   114.4161   -18.4214         -5.0241     16.1150
          IRASF00040+4325   SiIV   114.4161   -18.4214        -64.9740     13.3767
                     IZW1   CII*   123.7485   -50.1750         -7.4370     14.0170
                     IZW1    CIV   123.7485   -50.1750        -24.4844     13.9737
                     IZW1   NiII   123.7485   -50.1750        -28.4220     13.6540
                     IZW1    SII   123.7485   -50.1750        -13.4330     15.1250
                     IZW1   SiIV   123.7485   -50.1750        -22.8728     13.3947
                   KAZ238   CII*   110.9649   -28.3522         -3.3150     14.3600
                   KAZ238    CIV   110.9649   -28.3522        -44.7868     14.2735
                   KAZ238     NV   110.9649   -28.3522        -11.5981     13.7404
                   KAZ238   NiII   110.9649   -28.3522        -42.5761     14.4520
                   KAZ238    SII   110.9649   -28.3522        -18.9482     15.7206
                   KAZ238   SiIV   110.9649   -28.3522        -19.6558     13.6449
           LBQS-1435-0134   CII*   348.7184    51.3746        -18.6298     14.2026
           LBQS-1435-0134    CIV   348.7184    51.3746        -58.4890     14.6930
           LBQS-1435-0134   FeII   348.7184    51.3746          1.4690      9.6600
           LBQS-1435-0134     NV   348.7184    51.3746        -37.9558     13.8364
           LBQS-1435-0134   NiII   348.7184    51.3746         -4.5270     13.8710
           LBQS-1435-0134    SII   348.7184    51.3746          0.8526     15.4049
           LBQS-1435-0134   SiII   348.7184    51.3746        -20.1154     15.2376
           LBQS-1435-0134   SiIV   348.7184    51.3746        -43.9981     13.8372
                  MARK509   CII*    35.9711   -29.8554         14.2320     14.3615
                  MARK509    CIV    35.9711   -29.8554         -2.5440     14.3041
                  MARK509   FeII    35.9711   -29.8554         -6.8279     15.1460
                  MARK509     NV    35.9711   -29.8554         28.0721     13.8834
                  MARK509   NiII    35.9711   -29.8554         15.1739     13.7688
                  MARK509    SII    35.9711   -29.8554          3.9881     15.6719
                  MARK509   SiII    35.9711   -29.8554         -4.1537     16.3821
                  MARK509   SiIV    35.9711   -29.8554         26.1983     13.8639
               MR2251-178   CII*    46.1974   -61.3256          7.9220     14.0330
               MR2251-178    CIV    46.1974   -61.3256          9.0720     14.1997
               MR2251-178     NV    46.1974   -61.3256         19.9130     13.3090
               MR2251-178   NiII    46.1974   -61.3256         10.9200     13.5450
               MR2251-178    SII    46.1974   -61.3256          9.9882     15.4728
               MR2251-178   SiII    46.1974   -61.3256         16.7004     14.9774
               MR2251-178   SiIV    46.1974   -61.3256         -7.8205     13.6524
                 MRK-1044   CII*   179.6945   -60.4774         -8.7570     13.9700
                 MRK-1044    CIV   179.6945   -60.4774        -63.1432     14.2700
                 MRK-1044     NV   179.6945   -60.4774        -50.7280     13.1540
                 MRK-1044   NiII   179.6945   -60.4774        -35.7380     13.7650
                 MRK-1044    SII   179.6945   -60.4774         -7.3215     15.3185
                 MRK-1044   SiII   179.6945   -60.4774        -20.7490     14.6500
                 MRK-1044   SiIV   179.6945   -60.4774        -56.7240     13.4710
                  MRK-335   CII*   108.7632   -41.4245        -14.0404     14.1936
                  MRK-335    CIV   108.7632   -41.4245          6.1724     14.1609
                  MRK-335     NV   108.7632   -41.4245        -23.7040     13.4090
                  MRK-335   NiII   108.7632   -41.4245        -11.7120     13.4480
                  MRK-335    SII   108.7632   -41.4245         -9.7696     15.7085
                  MRK-335   SiII   108.7632   -41.4245        -27.3174     15.2908
                  MRK-335   SiIV   108.7632   -41.4245         -1.7453     13.6020
                   MRK106   CII*   161.1387    42.8795         -1.2250     14.0910
                   MRK106    CIV   161.1387    42.8795        -13.1585     13.8985
                   MRK106     NV   161.1387    42.8795        -13.2170     13.3650
                   MRK106   NiII   161.1387    42.8795        -10.2190     13.6930
                   MRK106    SII   161.1387    42.8795         -8.7256     15.3648
                   MRK106   SiII   161.1387    42.8795        -38.1352     15.1087
                   MRK106   SiIV   161.1387    42.8795        -19.3986     13.3298
                  MRK1148   CII*   123.0933   -45.4387          1.1807     14.0274
                  MRK1148    CIV   123.0933   -45.4387         -9.1347     13.9461
                  MRK1148   FeII   123.0933   -45.4387        -30.4240     14.7650
                  MRK1148   NiII   123.0933   -45.4387        -25.4103     13.6704
                  MRK1148    SII   123.0933   -45.4387         -8.7524     15.7853
                  MRK1148   SiII   123.0933   -45.4387        -17.7323     14.9743
                  MRK1148   SiIV   123.0933   -45.4387          5.5510     13.4140
                  MRK1179   CII*   148.8953   -29.7454         49.0905     17.7747
                  MRK1179    CIV   148.8953   -29.7454         22.0853     16.3521
                  MRK1179   FeII   148.8953   -29.7454        -33.7671     16.3749
                  MRK1179     NV   148.8953   -29.7454         -4.6050     13.4290
                  MRK1179    SII   148.8953   -29.7454         -7.6020     15.1510
                  MRK1179   SiIV   148.8953   -29.7454          4.1517     13.9406
                  MRK1392   CII*     2.7540    50.2640        -16.1851     14.4098
                  MRK1392    CIV     2.7540    50.2640        -19.9980     14.3660
                  MRK1392   FeII     2.7540    50.2640         -2.0100      9.5120
